SPANISH,ENGLISH,ETYMON_GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
lo busco*,,,,
lo calento*,,BIG DAY = festival,,
lo calento*,,BURN,,
lo cambio*,,CHANGE,,
lo cambio* (trueque),,CHANGE,,
lo cargo* (en brazos),,"CARRY, LOAD",,
lo cargo* (en la cabeza),,"CARRY, LOAD",,
lo cargo* (en la cabeza),,"PUT, GIVE",,
lo cargo* (en la cabeza),,TAKE,,
lo cargo* (en la espalda),,"CARRY, LOAD",,
lo cargo* (en los hombros),,"CARRY, LOAD",,
lo cargo* (en los hombros),,TAKE,,
lo celo*,,JEALOUSY,,
lo chicoteo*,,,,
lo chicoteo*,,HIT,,
lo chicoteo*,,SKIN,,
lo chicoteo*,,"to stretch, to strangle",,
lo chupo* (dulce u otro),,,,
lo clavo*,,HIT,,
lo cocio* (de cocinar),,COOK,,
loco,,CRAZY,1899,MAD
"lo coloco*, lo puso",,MAKE,,
"lo coloco*, lo puso",,NOT to GIVE,,
"lo coloco*, lo puso",,"PUT, GIVE",,
lo colo*,,STRAIN,,
lo comio* (cualquier otra cosa: tostadas),,EAT,,
lo compro*,,CHANGE,,
lo compro*,,TRADE,,
"lo consiguio*, lo encontro*",,,,
"lo construyo*, lo hizo",,MAKE,,
"lo construyo*, lo hizo",,MOULD,,
"lo construyo*, lo hizo",,NOT GOOD,,
lo consumio*,,,,
lo consumio*,,EAT,,
lo consumio*,,END,,
"lo conto*, lo relato*",,,,
"lo conto*, lo relato*",,SPEAK,,
"lo conto*, lo relato*",,STRAIGHTEN,,
lo corrio*,,RUN,,
lo corto* (con la mano),,CUT,,
lo corto* (con la mano),,PEEL,,
lo cosio* (de coser),,CLOTHING; COTTON,,
lo cosio* (de coser),,SEW,,
"lo creo*, lo invento*",,,,
"lo creo*, lo invento*",,"THINK, KNOW",,
lo creyo*,,BIG,,
lo creyo*,,GO.IN,,
lo creyo*,,NOT to GIVE,,
lo dan*o*,,,,
lo dan*o*,,MISDEED,,
lo dan*o*,,PAIN,,
lo dan*o*,,"SCRAPE, SCRATCH",,
"lo dejaron por su marido [ERH,-ETR]",,CUT,,
"lo dejo*, lo abandono*",,HELP,,
"lo dejo*, lo abandono*",,REMAIN,,
"lo dejo*, lo permitio*",,REMAIN,,
lo dejo* tirado,,REMAIN,,
lo dejo* tirado,,"THROW, SHOOT",,
lo desato*,,LOOSEN,,
"lo desato*, lo solto*",,LOOSEN,,
"lo desato*, lo solto*",,THREAD,,
lo desato*,,THREAD,,
"lo descompuso, lo estropeo*",,,,
"lo descompuso, lo estropeo*",,CHANGE,,
"lo descompuso, lo estropeo*",,LOOSEN,,
"lo descompuso, lo estropeo*",,"SCRAPE, SCRATCH",,
"lo desenredo*, lo deshilo*",,LOOSEN,,
"lo desenredo*, lo deshilo*",,THREAD,,
lo deseo*,,,,
lo deseo*,,PAIN,,
lo desgrano*,,,,
"lo destruyo*, lo deshizo",,,,
lo detuvo,,,,
lo detuvo,,COVER,,
lo detuvo,,CUT,,
lo detuvo,,GRAB,,
lo detuvo,,STANDING,,
lo dibujo*,,,,
lo dibujo*,,FACE,,
lo dibujo*,,MOULD,,
"lo dividio*, lo repartio*",,BREAK,,
lodo,,,640,MUD
lo doblo*,,BEND,,
lodo,,MUD,640,MUD
lo doro*,,TOAST,,
lo doro*,,YELLOW,,
lo echo* a pudrir,,ROT,,
"lo embarro*, lo unto*",,PAINT,,
"lo embarro*, lo unto*",,SMOOTH,,
lo empujo*,,HIT,,
lo empujo*,,PUSH,,
lo empun*o*,,CLENCH,,
lo empun*o*,,GRAB,,
lo encontro*,,,,
lo encontro*,,NOT to TAKE,,
lo encontro*,,SEE,,
lo engan*o*,,,,
lo engan*o*,,"LIE, DECEIVE",,
lo enrollo*,,"ROLL, WRAP",,
lo enrollo*,,TWIST,,
"lo ensayo*, hizo la prueba, intento*",,,,
lo entendio*,,,,
lo entendio*,,HEAR,,
lo entendio*,,"THINK, KNOW",,
lo enterro*,,HIDE,,
lo envolvio*,,"ROLL, WRAP",,
lo escarbo*,,,,
lo escarbo*,,DIG,,
lo escogio*,,,,
lo escogio*,,GATHER,,
(lo esconde) (brincar) a escondidas,,HIDE,,
lo escondio*,,HIDE,,
lo escribio*,,,,
lo escucho*,,,,
lo escucho*,,HEAR,,
lo espero*,,WAIT,,
lo esta* siguiendo,,,,
lo estiro*,,STRETCH,,
lo estiro*,,"to stretch, to strangle",,
lo explico*,,LOOSEN,,
lo explico*,,SPEAK,,
lo explico*,,straight,,
lo explico*,,STRAIGHTEN,,
lo frio*,,,,
lo frio*,,COOK,,
lo frio*,,TOAST,,
lo frio*,,YELLOW,,
lo froto* (duro),,,,
lo froto* (duro),,BREAK,,
lo froto* (suave),,,,
lo fue a tirar,,"THROW, SHOOT",,
lo fumo*,,,,
lo fumo*,,EAT,,
lo fumo*,,TOBACCO,,
lo gasto* (de gastarse),,,,
lo gasto* (de gastarse),,END,,
lo gasto* (dinero),,,,
lo gasto* (dinero),,END,,
lo gasto* (dinero),,TRADE,,
"lo golpeo*, lo sono*",,BREAK,,
"lo golpeo*, lo sono*",,CUT,,
"lo golpeo*, lo sono*",,HIT,,
"lo guardo*, lo retuvo",,,,
"lo guardo*, lo retuvo",,GATHER,,
"lo guio*, lo condujo",,,,
"lo guio*, lo condujo",,NOT to TAKE,,
"lo guio*, lo condujo",,"WALK, GO",,
lo hilo*,,"ROLL, WRAP",,
lo hilo*,,THREAD,,
lo hilo*,,WEAVE,,
lo hizo,,light,,
lo hizo,,MAKE,,
lo hizo,,NOT GOOD,,
lo hundio*,,GATHER,,
lo hundio*,,HIDE,,
lo hundio*,,PUSH,,
lo intercalo*,,BETWEEN,,
lo jalo*,,PULL,,
lo jalo*,,STRETCH,,
lo lamio*,,EAT,,
lo lastimo*,,CUT,,
lo lastimo*,,END,,
lo lastimo*,,PAIN,,
lo lavo*,,WASH,,
lo limpio* (la milpa),,,,
lo limpio* (la milpa),,"SCRAPE, SCRATCH",,
lo limpio* (la milpa),,WASH,,
lo limpio* (la milpa),,WIPE,,
lo limpio* (la suciedad),,,,
lo limpio* (la suciedad),,"SCRAPE, SCRATCH",,
lo limpio* (la suciedad),,SWEEP,,
lo limpio* (la suciedad),,WASH,,
lo limpio* (la suciedad),,WIPE,,
lo llamo*,,"CALL, YELL, SHOUT",,
lo llevo*,,,,
lo llevo*,,NOT to TAKE,,
lo llevo*,,TAKE,,
lo machaco* (alguna planta),,,,
lo machaco* (alguna planta),,BREAK,,
lo machaco* (alguna planta),,HIT,,
"lo machaco* (chile, tomate)",,,,
"lo machaco* (chile, tomate)",,BREAK,,
"lo machaco* (chile, tomate)",,HIT,,
lo machaco* (olote cocido),,,,
lo machaco* (olote cocido),,BREAK,,
lo machaco* (olote cocido),,HIT,,
'loma' [ERH],,,,
lo magullo*,,,,
lo magullo*,,BREAK,,
lo magullo*,,"to stretch, to strangle",,
lo maldijo,,,,
lo maldijo,,WITCHCRAFT,,
lo mancho*,,,,
lo mancho*,,PAINT,,
"lo mando*, lo envio*",,,,
"lo mando*, lo ordeno*",,,,
lo marco*,,MEASURE,,
"lo ma*s chico/pequen*o, dedo pequen*o, hijo menor",,latest child,,
lo ma*s chico/ pequen*o,,latest child,,
lo masco*,,CHEW,,
lo mastico*,,CHEW,,
lombriz de tierra,,GREEN DEERFLY,,
lombriz de tierra,,WORM,,
lombriz de tripas,,WORM,,
lombriz,,WORM,1219,WORM
lo metio*,,GO.IN,,
lo metio*,,NOT to GIVE,,
lo metio*,,PUSH,,
lo mezclo*,,BETWEEN,,
lo mezclo*,,GO.BACK,,
lo mezclo*,,ONE,,
lo midio*,,MEASURE,,
lo mojo*,,,,
lo molio*,,,,
lo molio*,,FINE,,
lo molio*,,TWIST,,
lo monto*,,DEER,,
lo mordio*,,CHEW,,
lo mordio*,,EAT,,
lo mostro*,,,,
lo necesita,,,,
lo nego*,,HIDE,,
lo nego*,,NOT SAY,,
lo nego*,,NOT to GIVE,,
lo nego*,,NOT to TAKE,,
,long [ETR],BIG,,
,long [ETR],STANDING,,
,"long time, late",,,
lo obligo*,,,,
lo obligo*,,DEBT,,
lo obligo*,,PUSH,,
lo olio*,,SMELL,,
lo olvido*,,,,
lo olvido*,,TRADE,,
lo oyo*,,,,
lo oyo*,,HEAR,,
lo pago*,,PAY,,
lo partio* (con instrumento),,BREAK,,
lo partio* (con instrumento),,CUT,,
lo partio* (con la mano),,BREAK,,
lo partio* (con la mano),,CUT,,
lo partio* (por la mitad),,BREAK,,
lo partio* (por la mitad),,CUT,,
lo partio* (por la mitad),,HIT,,
lo pateo*,,,,
lo pateo*,,STANDING,,
lo pellizco*,,,,
lo pellizco*,,BREAK,,
lo pellizco*,,"to feel at, touch",,
lo pelo*,,PEEL,,
lo pelo*,,SKIN,,
lo penso*,,MEASURE,,
lo penso*,,"THINK, KNOW",,
lo perdio*,,,,
lo perdio*,,"THROW, SHOOT",,
lo perdio*,,TRADE,,
"lo perforo*, lo agujereo*",,,,
"lo perforo*, lo agujereo*",,"STAB, POKE",,
lo pinto*,,PAINT,,
lo piso*,,,,
lo piso*,,STANDING,,
lo plano (la costa),,PLAIN,,
"lo prenso*, lo apachurro*",,,,
"lo prenso*, lo apachurro*",,BREAK,,
"lo prenso*, lo apachurro*",,STANDING,,
"lo prenso*, lo apachurro*",,"to stretch, to strangle",,
lo presto* (lo dio*),,NOT to TAKE,,
lo presto* (lo dio*),,"PUT, GIVE",,
lo presto* (lo recibio*),,NOT to TAKE,,
"lo probo*, lo saboreo*",,,,
"lo probo*, lo saboreo* (comida)",,,,
"lo probo*, lo saboreo*",,HEAR,,
"lo probo*, lo saboreo*",,"THINK, KNOW",,
lo quemo*,,BURN,,
lo que se cobra,,"CALL, YELL, SHOUT",,
lo quiso,,,,
lo quito*,,EXIT of SUN = `east',,
lo quito*,,GO.OUT,,
lo quito*,,NOT to TAKE,,
lo rajo*,,BREAK,,
lo rajo*,,CUT,,
lo rajo*,,HIT,,
lo rajo*,,STANDING,,
lo rasco*,,ITCH,,
lo rasco*,,"SCRAPE, SCRATCH",,
"lo rasgun*o*, lo aran*o*",,BREAK,,
"lo rasgun*o*, lo aran*o*",,ITCH,,
"lo rasgun*o*, lo aran*o*",,"SCRAPE, SCRATCH",,
lo raspo*,,"SCRAPE, SCRATCH",,
lo rayo*,,,,
lo rayo*,,PULL,,
lo rayo*,,"SCRAPE, SCRATCH",,
"lo recibio*, lo tomo*",,NOT to TAKE,,
lo recogio*,,,,
lo recogio*,,GATHER,,
lo recordo*,,AWAKE,,
lo recordo*,,"THINK, KNOW",,
lo regan*o*,,MISDEED,,
"lo rego*, lo esparcio*",,SCATTER,,
"lo regreso*, lo devolvio*",,GO.BACK,,
lo remendo*,,CLOTHING; COTTON,,
lo remendo*,,MEND,,
lo remendo*,,SEW,,
lo remojo*,,,,
lo restrego*,,,,
"lo retorcio*, lo exprimio*",,,,
"lo retorcio*, lo exprimio*",,BREAK,,
"lo retorcio*, lo exprimio*",,GO.BACK,,
"lo retorcio*, lo exprimio*",,TWIST,,
"lo reunio*, lo junto*",,GATHER,,
lo revolco*,,BALL-SHAPED,,
lo revolco*,,GO.BACK,,
lo revolco*,,"ROLL, WRAP",,
lo rodeo*,,GO.BACK,,
"lo rodeo*, lo cerco*",,COVER,,
"lo rodeo*, lo cerco*",,GO.BACK,,
lo rodeo*,,"ROLL, WRAP",,
lo rodo*,,BALL-SHAPED,,
lo rodo*,,GO.BACK,,
lo rodo*,,"ROLL, WRAP",,
lo rompio*,,BREAK,,
loro,,PARROTS,882,PARROT
lo rozo*,,,,
lo saco*,,EXIT of SUN = `east',,
lo saco*,,GO.OUT,,
lo sacudio*,,LOOSEN,,
lo saludo*,,,,
lo salvo*,,EXIT of SUN = `east',,
lo salvo*,,HELP,,
los antepasados,,,,
los antepasados,,old man,,
los autoridades,,MAT,,
lo seco*,,DRY,,
lo sembro*,,,,
lo sen*alo*,,,,
lo sen*alo*,,MEASURE,,
lo siguio* (persiguio*),,,,
lo sintio*,,HEAR,,
lo sintio*,,"THINK, KNOW",,
lo somato* (algo pesado),,HIT,,
lo somato* (algo pesado),,"THROW, SHOOT",,
lo somato* (algu*n traste),,HIT,,
lo somato* (algu*n traste),,LOOSEN,,
lo son*o*,,SLEEP,,
lo soplo*,,ARSE,,
lo soplo*,,FAN,,
lo subio*,,AWAKE,,
lo subio*,,GO.UP,,
lo supo,,,,
lo supo,,HEAR,,
lo supo,,MEASURE,,
lo supo,,"THINK, KNOW",,
lo surco* (hizo surcos),,,,
lo surco* (hizo surcos),,BREAK,,
lo surco* (hizo surcos),,"ROLL, WRAP",,
lo surco* (hizo surcos),,STRAIGHTEN,,
"los viejos, los antig""en*os",,old man,,
lo tajo* (hacer en tajos la carne),,BREAK,,
lo tajo* (hacer en tajos la carne),,CUT,,
"lo tallo*, lo labro* (madera)",,,,
"lo tallo*, lo labro* (madera)",,"SCRAPE, SCRATCH",,
lo tapisco*,,,,
lo tapisco*,,NOT to TAKE,,
lo tapisco*,,PEEL,,
lo tapisco*,,PULL,,
lo tapo*,,COVER,,
lo tejio*,,WEAVE,,
lo tendio*,,SPREAD,,
"lo termino*, lo acabo*",,,,
"lo termino*, lo acabo*",,END,,
lo tin*o*,,MEDICINE,,
lo tin*o*,,PAINT,,
lo tiro* (cerca),,"THROW, SHOOT",,
lo tiro* hacia abajo,,"THROW, SHOOT",,
lo tiro* hacia aca*,,"THROW, SHOOT",,
lo tiro* hacia adentro,,"THROW, SHOOT",,
lo tiro* hacia afuera,,"THROW, SHOOT",,
lo tiro* hacia alla*,,"THROW, SHOOT",,
lo tiro* hacia alli*,,"THROW, SHOOT",,
lo tiro* hacia arriba,,"THROW, SHOOT",,
lo toco*,,,,
lo toco*,,GRAB,,
lo toco*,,HIT,,
lo tosto*,,TOAST,,
lo trago*,,SWALLOW,,
lo trajo,,COME,,
lo trajo,,NOT to TAKE,,
lo trajo,,TAKE,,
lo trenzo*,,BRAID,,
lo trenzo*,,WEAVE,,
"lo tuvo, lo poseyo*",,,,
"lo utilizo*, lo uso*",,,,
"lo utilizo*, lo uso*",,GO.IN,,
"lo utilizo*, lo uso*",,NOT to GIVE,,
"lo vencio*, le gano*",,,,
"lo vencio*, le gano*",,"SCRAPE, SCRATCH",,
lo vendio*,,TRADE,,
lo vino a tirar,,"THROW, SHOOT",,
lo vio (fi*jamente),,SEE,,
lo vio (fi*jamente),,YAWN,,
"lo vio, lo observo*",,SEE,,
lo visito*,,,,
lo visito*,,GO.BACK,,
lo visito*,,SEE,,
lo volteo*,,BALL-SHAPED,,
lo volteo*,,GO.BACK,,
lo volteo*,,TURN,,
"low, down",,EARTH,,
lucero,,,,
lucero,,BIG STAR = `Venus',,
lucero,,STAR,,
"lucie*rnaga, cucayo, cocuyo",,LIGHTNING BUG,,
lucie*rnaga,,LIGHTNING BUG,,
lugar de cortar,,CUT,,
lugar de dormir,,SLEEP,,
luke-warm,,BIG DAY = festival,,
"luke-warm, tepid",,BIG DAY = festival,,
luna [ERH],,,,
luna [ERH],,MOON,,
luna,,FEMALE CONNECTED KIN,1313,MOON
luna; mes,,,,
"luna, mes (""duen*a"")",,MOON,,
"luna, mes",,MOON,,
luna; mes,,MOON,,
luna,,MOON,1313,MOON
luna,,MOTHER,1313,MOON
luz,,EARLY,630,LIGHT (RADIATION)
luz [ETR] [ERH],(electric current) [ETR] [ERH],FIRE,,
luz (foco) [ERH],,FIRE,,
macana,planting stick,,,
machete,,METAL,2680,MACHETE
"macheto*n, cuje, cushin (fruta)",,star tree,,
macho,,,,
macho de aves,,TURKEY,,
macho de pajaros,,TURKEY,,
macho,,GENITALS,,
macho,,old man,,
machucarlo,,QUERN,,
macizo,,,,
"macizo, duro",,,,
"macizo, duro, viejo",,,,
,mad dog [ETR] [ERH],CRAZY,,
madera,,,1803,WOOD
"madera/palo de primavera [ETR,ERH]",,SYCAMORE,,
madero,,,,
"madrasta [ERH,-ETR]",,MOTHER,,
madrastra,,MOTHER,236,STEPMOTHER
madre de padre,,MOTHER,,
"madre, hembra",,MOTHER,,
madre,,MOTHER,1216,MOTHER
"madre, mujer",,MOTHER,,
"madre, sen*ora",,MOTHER,,
madrina,,,,
madrugada,,BIG NIGHT = `dawn',729,DAWN
madrugada,,EARLY,729,DAWN
madrugada,,NIGHT,729,DAWN
"madurar, dorarse",,YELLOW,,
madurarlo [ETR],,COOK,,
madurarse,,COOK,,
madurarse [ETR],,COOK,,
maduro,,,178,RIPE
"maduro, cocido",,COOK,,
maduro,,COOK,178,RIPE
maduro,,YELLOW,178,RIPE
maestro,,,,
magpie,,PARROTS,,
"maguey, ca*n*amo",agave,CENTURY PLANT,,
"maguey, ca*n*amo, heneque*n",agave,CENTURY PLANT,,
maguey,,CENTURY PLANT,,
maguey [ETR],,CENTURY PLANT,,
"maguey, huinte, pita",,CENTURY PLANT,,
"maguey, pita",,CENTURY PLANT,,
maguey; sweet (drink),,CENTURY PLANT,,
mai*z,,,,
mai*z adelantado [ERH],,"WALK, GO",,
mai*z amarillo,,YELLOW,,
"mai*z criollo [ERH] ""mai*z de aqui*""",,,,
mai*z cuarenta*n [ERH],,,,
mai*z cuarenta*n [ERH] [ETR],,,,
mai*z cuarenta*n (lit. 'ra*pido') [ERH],,,,
mai*z de bola [ERH],,BALL-SHAPED,,
mai*z encalado,,,,
mai*z - listo para desgranar,,,,
"mai*z, mixtamal",,,,
mai*z (planta),,,,
"mai*z tierno, jilote (= ji7j)",,,,
"majar [copal, cafe*] con palo",,BREAK,,
malacate (de mal genio),,,,
malacate (de mal genio),,WITCHCRAFT,,
"malacate [ERH,-ETR]",,THREAD,,
"malacate, huso",,SPINDLEWHORL,,
malacate (palo),,CUT,,
malacate (palo),,"STAB, POKE",,
malacate para torcer hilo,,CUT,,
malacate para torcer hilo,,"STAB, POKE",,
malacate,,SPINDLEWHORL,,
mala gente,,,,
mala gente,,MEASURE,,
mala mujer (yerba),,VINE,,
mal de pinto [ERH],,DIE,,
,"male, a relatively large/strong living thing",,,
,male child,FATHER,,
,male,male,2261,MALE (OF PERSON)
male,,male,,
,"male parts [ERH,-ETR]",,,
male rivals for the same woman,,,,
malo,,,1292,BAD
mal olor,,BAD-SMELLING,,
mal olor [ETR] [ERH],,WIND,,
"malo (maldad, mala gente)",,,,
"malo (maldad, mala gente)",,WITCHCRAFT,,
malo (referente a cosas),,,,
malo (referente a cosas),,NOT GOOD,,
mal puesto,[witchcraft],GO.IN,,
!mama*! [ETR],,MOTHER,,
!mama*!,,MOTHER,,
mama*,,MOTHER,,
mamar,,,1421,SUCK
mamar [ETR],,MOTHER,,
mamar [ETR],,TIT,,
mamar,,MOTHER,1421,SUCK
mamar,,TIT,1421,SUCK
mamo*,,,,
mamo*,,TIT,,
,man,,2106,MALE PERSON
man*ana,,ARRIVE.HERE,,
man*ana,,BLACK,,
man*ana,morning,BLACK,1339,MORNING
man*ana,,TOMORROW,,
man*ana,tomorrow,BLACK,1329,TOMORROW
man*ana,tomorrow,TOMORROW,1329,TOMORROW
manatee,,MOUNTAIN COW,,
manchado: en partes negro tierno y partes puro negro [ERH],,ROT,,
"manchado, sucio",,,,
"manco, tunco: falta mano o pie* [ETR]",,,,
"mandadero [ETR], mandadero, mensajero [ERH]",,WORK,,
mandado [ETR],,WORK,,
mandar,,,1998,COMMAND
mandar [ERH],,WORK,,
"mandarlo, enviarlo",,WORK,,
mandarlo [ERH],,WORK,,
mandarlo [ETR][ERH],to send him on an errand [ETR][ERH],WORK,,
,mange,MANGE,,
"mango, cabo (de hacha, de cuchillo)",,ARM,,
"mango, cabo (de hacha, de cuchillo)",,BIG its FOOT = tall,,
"mango, cabo (de hacha, de cuchillo)",,FOOT,,
mani*(a),,CACAO,,
mano,,ARM,1277,HAND
"mano, brazo",,ARM,,
mano de metate [ETR],,FEMALE CONNECTED KIN,,
mano de metate [ETR],,QUERN,,
mano de metate,,QUERN,,
mano de piedra de moler,,QUERN,,
mano de piedra,,QUERN,,
mano derecha; bueno,,NOT GOOD,,
mano derecha,,EARLY,,
mano derecha [ERH] [ETR],,NOT GOOD,,
mano derecha [ERH] [ETR],,RING,,
mano derecha,,NOT GOOD,,
mano derecha,right hand,,2183,RIGHT HAND
mano [ETR],,ARM,,
mano izquierda,,SIDE,2182,LEFT HAND
mano izquierda/ zurda,,SIDE,,
mano izquierda/zurda,,SIDE,,
"manojo [ERH,-ETR]",,"CARRY, LOAD",,
manojo,,"ROLL, WRAP",1966,BUNCH
manosear,,,,
manosear,,"to feel at, touch",,
mantener [ERH],,WORK,,
many,,,,
manzana de ada*n (en la garganta),,PARROTS,,
mapache,,COON,828,RACCOON
mapache,,POSSUM,828,RACCOON
"maraca, chinchi*n",,RATTLESNAKE,,
marchar en fila [ERH],,NOT GOOD,,
mar [ETR] [ERH],,SUN,,
marido,,,1200,HUSBAND
"marido de mujer [ERH,-ETR]",,old man,,
"marido de mujer [ERH,-ETR]",,SIBLINGS,,
marido,,GENITALS,1200,HUSBAND
marido,,old man,1200,HUSBAND
marido,,woman,1200,HUSBAND
"marimba, mu*sica",,HIT,,
mariposa,,BUTTERFLY,1791,BUTTERFLY
mariposa [de di*a] [ETR],butterfly [not moth],DRAGONFLY,,
mariposo,,BUTTERFLY,,
mar,,LAKE,1474,SEA
"marrano, cerdo, coche, puerca",,PECCARY,,
"marrano, cerdo, coche, puerca",,WOODS PIG = `peccary',,
marrano de pelaje muy blanco [ETR],,HAIR of HEAD,,
martillar,,HIT,,
martillo [ERH],,CHEW,,
martillo,,HIT,1481,HAMMER
martillo,,"STAB, POKE",1481,HAMMER
martucha,,KINKAJOU ,,
martucho,,KINKAJOU ,,
ma*s,,,,
"masa, atole",corndough,,,
masa,corndough,,273,DOUGH
masacuata,,BOA,,
masa para pozole,,,,
masa; pozol,corndough,,,
mascar,,,,
ma*scara,,MASK,,
mascar,,CHEW,,
mascar,,EAT,,
"mascar, masticar",,CHEW,,
"mascar, roer",,EAT,,
mascar,,SPEAK,,
,masonry,MOULD,,
ma*s por abajo,,PLAIN,,
mas(ti)car,,CHEW,,
masticar [chicle] [ETR] [ERH],,,,
masticarlo,,CHEW,,
mas(ti)car,,SPEAK,,
,[masturbate],PEEL,,
(mata de) copal,,,,
mata de planta [ETR],,,,
matalo*n [ERH]; asesino [ERH],,BREAK,,
matalo*n [ERH],,BREAK,,
matar,,,1417,KILL
matar,,DIE,1417,KILL
matar [gente] [ERH],to kill -- person [ETR],DIE,,
matasanal,,"white sapote, Mexican apple",,
"matasano (""a*rbol rey"")",,"white sapote, Mexican apple",,
matasano,,"white sapote, Mexican apple",,
matate pequeno,,FINE,,
materia [ETR],,,,
"materia, pus [enf.]",,,,
,mat,MAT,195,MAT
mat,,MAT,,
matriz,,BIG ROAD = `street',,
matriz [ETR],,MOTHER,,
"mature, ripe",,COOK,,
"maxtate, pan*al",,TIE,,
"maxtate, taparrabo",,TROUSERS,,
"maxtate, taparrabo",,TWIST,,
mazacuate,,RAISE,,
mazacuate,,RATTLESNAKE,,
mazo,,HIT,,
mazorca,,,,
"mazorca, antes de desgranar",,,,
mazorca con pocos granos,,,,
mazorca con varias cabezas,,,,
mazorca [ETR],,,,
mazorca (normal),,,,
"mazorca, olote",,,,
mazorca seca,,,,
measure(ment),,MEASURE,,
mecapal,,"CARRY, LOAD",,
"mecapal (de pita), tumpline [ETR]",,TUMPLINE,,
mecapal,,TUMPLINE,,
mecapal,,VEINTENA // SCORE,,
mecapal,,WORK,,
"mecate, bejuco",,ROPE,,
mecate,,CENTURY PLANT,,
"mecate, cuerda, lazo",,ROPE,,
"mecate, cuerda, lazo, soga",,ROPE,,
mecate fino de hamaca,,CENTURY PLANT,,
"mecate, maguey",,CENTURY PLANT,,
"mecate, red",,ROPE,,
mecate,,VINE,,
medianoche,,HIT,,
"medicina, remedio",,MEDICINE,1372,MEDICINE
"medicina, remedio, trago, aguardiente",,MEDICINE,,
,"medicine, fish poison",MEDICINE,,
medio atravesado,,CUT,,
medio,,BREAK,3208,CENTER OR MIDDLE
medio claro [ERH],,SUN,,
medio crecido [mai*z] [ETR],,,,
medio de lado [ETR],,HANGING,,
"medio di*a, a medio di*a",,MIDDLE,,
"medio di*a, a medio di*a",,STANDING,,
mediodi*a,,EAT,,
mediodi*a,,STANDING,,
medio,,MIDDLE,3208,CENTER OR MIDDLE
medio torcido [ETR],,CUT,,
medio 'wango'/flojo [pantalo*n [ETR],,LOOSE,,
medirlo (con aparato) [ETR],,MEASURE,,
medir,,MEASURE,1506,MEASURE
"medir, pesar",,MEASURE,,
"medir, pesar, tantear",,MEASURE,,
mejilla [ERH],cheek [ETR],TOOTH,,
"mendigar, pordiosear",[be a beggar],END,,
menear lo que esta* sobre fuego,,BETWEEN,,
mensajero,,,,
"mensajero, mandadero",,,,
mensajero,,WORK,,
menstruacio*n,,NOT to TAKE,,
menstruacio*n,,PAIN,,
menstruacio*n,,WASH,,
mentira,,"LIE, DECEIVE",,
"mentira, secreto",,"LIE, DECEIVE",,
mentiroso,,EAT,,
mentiroso,,"LIE, DECEIVE",,
mentiroso,,MOULD,,
mentir,"to lie, deceive him","LIE, DECEIVE",601,LIE (MISLEAD)
"mento*n, barbilla",,,,
"mento*n, barbilla",,MOUTH,,
mercado [ERH]; tienda [ERH],,TRADE,,
mercado,,TRADE,633,MARKET
mercanci*a,,TRADE,,
mesa,,BOARD,1775,TABLE
mesa de tlapechtli,,BED,,
mes,,FEMALE CONNECTED KIN,1370,MONTH
mes,,MOON,1370,MONTH
,messenger,WORK,,
messenger,,WORK,,
mestizo,,BLACK,,
metal,,,2244,METAL
"metal, hierro",,,,
"metal, hierro",,EAT,,
"metal, hierro",,METAL,,
metal,,METAL,2244,METAL
"metal, piedra, hierro",,,,
metate; buche,,QUERN,,
metate [ETR],,QUERN,,
"metate, molinillo",quern,QUERN,,
metate; muela,,QUERN,,
metate platform,,,,
metate,,QUERN,2459,GRINDSTONE
metate,quern,QUERN,2459,GRINDSTONE
meterlo (dedos) en agua [ETR],to dip it [ETR],CHEW,,
meterlo (dedos) en agua [ETR],to dip it [ETR],"to feel at, touch",,
meterse el sol,,BIG DAY = festival,,
meterse el sol,,BURN,,
meterse el sol,,SUN,,
meterse el sol,,to FALL SUN,,
metido adentro - se ve la punta [ETR],,CUT,,
mezclar,,,2017,MIX
mezclar,,MOVE,2017,MIX
"mezquino, rui*n [ERH]",,TOMATO,,
m/girasol,,,,
"miche, pepita de /kux.kux/; usado por chimanes para rogar Dios",,coral bean tree,,
mico de noche,,KINKAJOU ,,
"mico de noche, martucha",,KINKAJOU ,,
mico,,MONKEY,,
miedo,,FEAR,781,FEAR (FRIGHT)
miedo,,HEAD,781,FEAR (FRIGHT)
miedoso,,FEAR,,
miedoso,,HEAD,,
"miedo, temor",,FEAR,,
miel 2. panela,,WASP,,
miel de abeja,,WASP,942,HONEY
miel extranjera,,WASP,,
"miel, panela, dulce",,WASP,,
miel,,WASP,942,HONEY
mi enemigo,,,,
"mierda, estiercol; panza de animal",,SHIT,,
milpa,,,449,CORN FIELD
milpa,corn plant,WORK,449,CORN FIELD
"milpa - especialmente la mata [ETR]; milpa [ERH,-ETR]",,WORK,,
milpa,,NOT to GIVE,449,CORN FIELD
milpa pequen*a,,,,
milpa pequen*a,,WORK,,
"milpa, roza",,,,
milpa,,SEED,449,CORN FIELD
milpa,,WORK,449,CORN FIELD
"milperi*o [ERH,-ETR]",,WORK,,
miltomate,,HANGING,,
miltomate,,TOMATO,,
mimbre,,REED,,
mirar fiesta,,SEE,,
mirar,,SEE,1650,WATCH
mirasol chico,,,,
,mirror,MIRROR,1171,MIRROR
mirror,,MIRROR,,
"miserable, tacan*o",,TOMATO,,
